,date,value_JP90C000FHD2,value_JP90C000GKC6,value_JP90C000CMK4,value_JP90C000FHC4,value_JP90C0001R39,value_JP90C000ENC5,value_JP90C0009VE0,value_JP90C000EWV6,value_JP90C000H1T1,value_JP90C0008CH5,value_JP90C000CMF4,value_JP90C000F7H5,value_JP90C000BRT6,value_JP90C000ENA9,value_JP90C000E6Z0,value_JP90C000GMQ2,value_JP90C000G631,value_JP90C00081U4,value_JP90C000FCD3,value_JP90C000DVK3,value_JP90C0006026,value_JP90C000GMS8,value_JP90C000FXV1,value_JP90C0009ER8,value_JP90C000FQQ5,value_JP90C0006083,value_JP90C000C7B1,value_JP90C00055X2,value_JP90C000DXE2,value_JP90C000D1Y5,value_JP90C000B9U8,value_JP90C0008022,value_JP90C0006LC1,value_JP90C000F3F8,value_JP90C000FQR3,value_JP90C000DVX6,value_JP90C000FK44,value_JP90C0006LK4,value_JP90C0007DN3,value_JP90C0005Z76,value_JP90C0006LG2,value_JP90C000FED9,value_JP90C0007LN6,value_JP90C000FCE1,value_JP90C00035D6,value_JP90C000G7W3,value_JP90C00074E3,value_JP90C000A9Q7,value_JP90C000FK36,value_JP90C000FVY9,value_JP90C0009L37,value_JP90C000CZ57,value_JP90C000F7A0,value_JP90C000GMR0,value_JP90C000FN41,value_JP90C00091E7,value_JP90C00074C7,value_JP90C000FLL7,value_JP90C000D208,value_JP90C000F9M1,value_JP90C000FX80,value_JP90C000FX98,value_JP90C00009Y7,value_JP90C000F8M3,value_JP90C000FHZ5,value_JP90C000DVR8,value_JP90C00009X9,value_JP90C0006LD9,value_JP90C000ERE2,value_JP90C00055W4,value_JP90C0001QY5,value_JP90C000G672,value_JP90C0007DM5,value_JP90C0007DP8,value_JP90C000FBV7,value_JP90C00095F5,value_JP90C00021F1,value_JP90C000DVL1,value_JP90C000DVN7,value_JP90C000HZE8,value_JP90C00035E4,value_JP90C0003RS1,value_JP90C0003RT9,value_JP90C000FDM2,value_JP90C0003RR3,value_JP90C000FN33,value_JP90C000FFC8,value_JP90C000FLK9,value_JP90C000FNN9,value_JP90C00009Z4,value_JP90C000F9E8,value_JP90C0007DQ6,value_JP90C000A0B8,value_JP90C0001QZ2,value_JP90C000FN25,value_JP90C0001QL2,value_JP90C0002AA7,value_JP90C000FFX4,value_JP90C0006Y84,value_JP90C0007LP1,value_JP90C000FXB3,value_JP90C000F8P6,value_JP90C000FX72,value_JP90C000FJY4,value_JP90C0009L03,value_JP90C000DVM9,value_JP90C000F8D2,value_JP90C0001R05,value_JP90C000F8F7,value_JP90C000F9G3,value_JP90C000FD92,value_JP90C0006K23,value_JP90C000FNL3,value_JP90C000D216,value_JP90C000F8G5,value_JP90C000FJ05,value_JP90C000FSN8,value_JP90C000FH72,value_JP90C000F8K7,value_JP90C000CJS3,value_JP90C000G680,value_JP90C000AYS6,value_JP90C000F8H3,value_JP90C0001UW1,value_JP90C000FNM1,value_JP90C000F8E0,value_JP90C000G664,value_JP90C000C8G8,value_JP90C0001QU3,value_JP90C000D1Z2,value_JP90C000FS95,value_JP90C0001UV3,value_JP90C000GV99,value_JP90C000F9K5,value_JP90C000FXA5,value_JP90C000FSP3,value_JP90C000GVW1,value_JP90C000F8N1,value_JP90C000D1X7,value_JP90C000A808,value_JP90C000GV81,value_JP90C0005FR3,value_JP90C0002MF1,value_JP90C000F8L5,value_JP90C0005FS1,value_JP90C000FNK5,value_JP90C000GB28,value_JP90C000FHF7,value_JP90C0001UU5,value_JP90C000F8Q4,value_JP90C000FHE0,value_JP90C000FHG5
0,2017-09-29,10000.0,,11840.0,10000.0,22446.0,10951.0,14510.0,10386.0,,37085.0,10677.0,10218.0,10820.0,10999.0,11515.0,,,24978.0,10401.0,12238.0,22110.0,,,17758.0,,27444.0,11080.0,16372.0,11564.0,10762.0,11873.0,19226.0,22296.0,10089.0,,11393.0,,15637.0,22269.0,26982.0,25064.0,10043.0,21169.0,10281.0,25258,,23754.0,14330.0,,,13283.0,13625.0,10211.0,,,15898.0,25061.0,,11658.0,10576.0,,,15329.0,10374.0,,13122.0,14441.0,21427.0,10905.0,13871.0,17453.0,,21671.0,25249.0,10513.0,15094.0,23874.0,12749.0,13000.0,,19675,17395.0,18816.0,,15712.0,,10015.0,,,15942.0,10546.0,14868.0,13441.0,20307.0,,15340.0,10755.0,10000.0,19968.0,13083.0,,10275.0,,,13829.0,12549.0,10180.0,23148.0,10469.0,10598.0,,24898.0,,12434.0,10439.0,,,,10396.0,10987.0,,13736.0,10261.0,14729.0,,10442.0,,11091.0,22669.0,11200.0,,14901.0,,10206.0,,,,10191.0,10344.0,14140.0,,15258.0,12984.0,10272.0,15566.0,,,,14605.0,10232.0,,
1,2017-10-02,9980.0,,11891.0,9979.0,22495.0,10998.0,14571.0,10413.0,,37010.0,10700.0,10311.0,10813.0,10992.0,11540.0,,,24961.0,10444.0,12265.0,22184.0,,,17783.0,,27427.0,11089.0,16441.0,11614.0,10772.0,11860.0,19276.0,22344.0,10087.0,,11421.0,,15780.0,22318.0,27225.0,25170.0,10061.0,21277.0,10324.0,25347,,23807.0,14315.0,,,13304.0,13751.0,10237.0,,,15964.0,25182.0,,11690.0,10599.0,,,15331.0,10397.0,10000.0,13232.0,14438.0,21413.0,10898.0,13861.0,17453.0,,21657.0,25356.0,10560.0,15156.0,23845.0,12741.0,13055.0,,19782,17401.0,18828.0,,15710.0,,10029.0,,,15950.0,10539.0,15001.0,13427.0,20317.0,,15330.0,10778.0,10041.0,20018.0,13245.0,,10284.0,,,13883.0,12536.0,10216.0,23170.0,10514.0,10642.0,,25004.0,,12485.0,10534.0,10022.0,,,10442.0,11006.0,,13765.0,10288.0,14739.0,,10436.0,,11100.0,22647.0,11220.0,,14920.0,,10299.0,,,,10231.0,10345.0,14125.0,,15268.0,12948.0,10299.0,15577.0,,,10030.0,14630.0,10257.0,10020.0,10041.0
2,2017-10-03,10031.0,,11942.0,9992.0,22730.0,11045.0,14635.0,10424.0,,37121.0,10810.0,10334.0,10882.0,11063.0,11660.0,,,25121.0,10502.0,12392.0,22209.0,,,17934.0,,27573.0,11114.0,16512.0,11667.0,10783.0,11947.0,19297.0,22576.0,10088.0,,11433.0,,15815.0,22550.0,27287.0,25278.0,10115.0,21361.0,10371.0,25395,,24054.0,14419.0,,,13325.0,13781.0,10253.0,,,16095.0,25284.0,,11717.0,10708.0,,,15372.0,10505.0,10040.0,13251.0,14459.0,21551.0,10967.0,13950.0,17478.0,,21795.0,25465.0,10605.0,15224.0,24011.0,12823.0,13111.0,,19899,17446.0,18899.0,10002.0,15733.0,,10044.0,,,16011.0,10606.0,15035.0,13525.0,20369.0,,15428.0,10889.0,10096.0,20068.0,13274.0,,10307.0,,,13886.0,12627.0,10225.0,23257.0,10559.0,10688.0,,25111.0,,12528.0,10557.0,10127.0,,,10466.0,11008.0,,13772.0,10299.0,14771.0,,10503.0,,11125.0,22800.0,11239.0,,14967.0,,10323.0,,,,10277.0,10349.0,14228.0,,15306.0,12986.0,10294.0,15619.0,,,10055.0,14697.0,10269.0,10037.0,10076.0
3,2017-10-04,10017.0,,11939.0,9999.0,22744.0,11043.0,14632.0,10424.0,,37015.0,10817.0,10447.0,10883.0,11063.0,11668.0,,,25123.0,10492.0,12400.0,22226.0,,,17943.0,,27630.0,11113.0,16508.0,11689.0,10785.0,11949.0,19297.0,22590.0,10093.0,,11436.0,,15988.0,22564.0,27584.0,25272.0,10093.0,21386.0,10391.0,25443,,24070.0,14421.0,,,13320.0,13933.0,10253.0,,,16078.0,25313.0,,11720.0,10716.0,,,15378.0,10511.0,10052.0,13428.0,14470.0,21552.0,10968.0,13951.0,17484.0,,21796.0,25458.0,10616.0,15254.0,23983.0,12823.0,13108.0,,19864,17454.0,18900.0,10006.0,15742.0,,10030.0,,,16012.0,10607.0,15200.0,13527.0,20373.0,,15429.0,10896.0,10086.0,20051.0,13432.0,,10306.0,,,13888.0,12629.0,10236.0,23257.0,10556.0,10686.0,,25106.0,,12563.0,10673.0,10133.0,,,10492.0,11050.0,,13835.0,10299.0,14781.0,,10503.0,,11123.0,22790.0,11243.0,,14968.0,,10435.0,,,,10298.0,10349.0,14229.0,,15306.0,12969.0,10290.0,15618.0,,,10061.0,14699.0,10269.0,10040.0,10104.0
4,2017-10-05,10044.0,,11957.0,10020.0,22746.0,11059.0,14652.0,10447.0,,36746.0,10818.0,10502.0,10870.0,11050.0,11669.0,,,25092.0,10526.0,12401.0,22272.0,,,17992.0,,27615.0,11117.0,16533.0,11691.0,10796.0,11931.0,19339.0,22592.0,10098.0,,11462.0,,16073.0,22566.0,27734.0,25309.0,10106.0,21418.0,10392.0,25442,,24071.0,14399.0,,,13329.0,14006.0,10272.0,,,16085.0,25363.0,,11743.0,10717.0,,,15378.0,10512.0,10072.0,13515.0,14473.0,21526.0,10955.0,13933.0,17488.0,,21769.0,25497.0,10635.0,15256.0,23880.0,12807.0,13128.0,,19921,17457.0,18900.0,10012.0,15746.0,,10043.0,,,16009.0,10594.0,15282.0,13507.0,20376.0,,15411.0,10897.0,10118.0,20076.0,13457.0,,10309.0,,,13933.0,12610.0,10260.0,23258.0,10572.0,10701.0,,25143.0,,12590.0,10729.0,10134.0,,,10518.0,11066.0,,13860.0,10322.0,14781.0,,10491.0,,11127.0,22776.0,11259.0,,14966.0,,10492.0,,,,10297.0,10355.0,14208.0,,15309.0,12927.0,10311.0,15621.0,,,10081.0,14698.0,10290.0,10056.0,10125.0
5,2017-10-06,10103.0,,12003.0,10056.0,22814.0,11102.0,14710.0,10444.0,,36874.0,10852.0,10509.0,10900.0,11081.0,11704.0,,,25162.0,10596.0,12439.0,22276.0,,,18101.0,,27600.0,11126.0,16596.0,11747.0,10794.0,11957.0,19334.0,22660.0,10089.0,,11459.0,,16083.0,22636.0,27750.0,25406.0,10101.0,21510.0,10443.0,25360,,24143.0,14431.0,,,13341.0,14021.0,10276.0,,,16132.0,25449.0,,11752.0,10750.0,,,15393.0,10544.0,10106.0,13524.0,14475.0,21585.0,10985.0,13972.0,17488.0,,21829.0,25594.0,10671.0,15330.0,23949.0,12842.0,13178.0,,20052,17473.0,18933.0,10020.0,15746.0,,10045.0,,,16038.0,10623.0,15291.0,13535.0,20396.0,,15452.0,10930.0,10184.0,20116.0,13570.0,,10318.0,,,13939.0,12637.0,10260.0,23304.0,10613.0,10744.0,,25240.0,,12614.0,10736.0,10165.0,,,10530.0,11049.0,,13835.0,10320.0,14805.0,,10520.0,,11136.0,22815.0,11263.0,,15006.0,,10503.0,,,,10347.0,10348.0,14238.0,,15324.0,12976.0,10298.0,15639.0,,,10091.0,14757.0,10288.0,10060.0,10145.0
6,2017-10-10,10063.0,,11976.0,10016.0,22960.0,11076.0,14676.0,10425.0,,37197.0,10920.0,10488.0,10951.0,11132.0,11778.0,,,25280.0,10555.0,12519.0,22227.0,,,18068.0,,27716.0,11135.0,16558.0,11726.0,10790.0,12011.0,19298.0,22804.0,10092.0,,11431.0,,16049.0,22778.0,27692.0,25347.0,10110.0,21451.0,10424.0,25458,,24298.0,14495.0,,,13330.0,13986.0,10263.0,,,16045.0,25391.0,,11735.0,10817.0,,,15414.0,10611.0,10084.0,13423.0,14486.0,21686.0,11036.0,14038.0,17504.0,,21932.0,25535.0,10651.0,15301.0,24172.0,12903.0,13149.0,,20019,17491.0,18963.0,10006.0,15759.0,,10040.0,,,16069.0,10673.0,15260.0,13596.0,20418.0,,15525.0,10998.0,10145.0,20099.0,13479.0,,10325.0,,,13900.0,12694.0,10231.0,23333.0,10589.0,10720.0,,25181.0,,12608.0,10714.0,10230.0,,,10507.0,11111.0,,13925.0,10300.0,14803.0,,10569.0,,11144.0,22876.0,11253.0,,15004.0,,10477.0,,,,10328.0,10350.0,14302.0,,15340.0,13035.0,10267.0,15655.0,,,10078.0,14750.0,10268.0,10050.0,10140.0
7,2017-10-11,10046.0,,11969.0,10027.0,23023.0,11070.0,14669.0,10431.0,,37132.0,10949.0,10543.0,10962.0,11143.0,11811.0,,,25304.0,10537.0,12553.0,22243.0,,,18051.0,,27724.0,11135.0,16549.0,11743.0,10793.0,12025.0,19310.0,22867.0,10091.0,,11435.0,,16134.0,22841.0,27841.0,25333.0,10123.0,21458.0,10441.0,25513,,24365.0,14510.0,,,13341.0,14058.0,10265.0,,,16057.0,25396.0,,11743.0,10846.0,,,15417.0,10641.0,10086.0,13470.0,14487.0,21707.0,11048.0,14051.0,17505.0,,21953.0,25520.0,10653.0,15324.0,24216.0,12915.0,13141.0,,19962,17493.0,18968.0,10007.0,15760.0,,10039.0,,,16074.0,10683.0,15341.0,13612.0,20421.0,,15540.0,11028.0,10128.0,20093.0,13570.0,,10326.0,,,13910.0,12709.0,10241.0,23338.0,10583.0,10713.0,,25168.0,,12629.0,10771.0,10258.0,,10001.0,10522.0,11110.0,,13925.0,10307.0,14792.0,,10580.0,,11144.0,22869.0,11258.0,,14987.0,,10534.0,,,,10345.0,10350.0,14317.0,,15341.0,13046.0,10272.0,15657.0,,,10086.0,14726.0,10275.0,10055.0,10157.0
8,2017-10-12,10070.0,,12015.0,10065.0,23104.0,11113.0,14725.0,10463.0,,37236.0,10988.0,10624.0,10983.0,11165.0,11853.0,,,25354.0,10568.0,12597.0,22342.0,,,18106.0,,27809.0,11160.0,16612.0,11763.0,10815.0,12047.0,19369.0,22947.0,10103.0,,11468.0,,16258.0,22919.0,28053.0,25430.0,10122.0,21544.0,10458.0,25686,,24450.0,14538.0,,,13350.0,14164.0,10290.0,,,16100.0,25505.0,,11783.0,10884.0,,,15442.0,10678.0,10129.0,13551.0,14503.0,21750.0,11069.0,14078.0,17531.0,,21996.0,25618.0,10697.0,15350.0,24335.0,12940.0,13192.0,,20007,17523.0,19009.0,10029.0,15781.0,,10057.0,,,16108.0,10704.0,15455.0,13637.0,20460.0,,15570.0,11067.0,10159.0,20160.0,13653.0,,10350.0,,,13981.0,12733.0,10291.0,23391.0,10623.0,10756.0,,25265.0,,12681.0,10853.0,10293.0,,9999.0,10573.0,11162.0,,14003.0,10338.0,14799.0,,10600.0,,11170.0,22891.0,11288.0,,14994.0,,10613.0,,,,10362.0,10366.0,14345.0,,15373.0,13069.0,10317.0,15691.0,,,10122.0,14728.0,10308.0,10083.0,10199.0
9,2017-10-13,10043.0,,11988.0,10044.0,23326.0,11087.0,14691.0,10466.0,,37377.0,11094.0,10639.0,11038.0,11221.0,11967.0,,,25482.0,10537.0,12718.0,22328.0,,,18056.0,,27888.0,11164.0,16574.0,11755.0,10818.0,12117.0,19374.0,23166.0,10099.0,,11471.0,10002.0,16280.0,23138.0,28095.0,25371.0,10153.0,21495.0,10451.0,25745,,24683.0,14621.0,10010.0,,13364.0,14184.0,10292.0,,,16072.0,25458.0,,11792.0,10989.0,,,15460.0,10780.0,10111.0,13579.0,14511.0,21858.0,11124.0,14149.0,17539.0,,22106.0,25560.0,10682.0,15339.0,24517.0,13005.0,13161.0,,19916,17538.0,19037.0,10024.0,15787.0,,10059.0,,,16138.0,10758.0,15478.0,13716.0,20476.0,,15648.0,11173.0,10128.0,20152.0,13620.0,,10353.0,,,13991.0,12806.0,10284.0,23419.0,10599.0,10731.0,,25206.0,,12697.0,10868.0,10392.0,,10000.0,10568.0,11198.0,,14054.0,10341.0,14801.0,,10653.0,,11173.0,23003.0,11293.0,,14999.0,,10624.0,,,,10355.0,10365.0,14427.0,,15384.0,13148.0,10310.0,15703.0,,,10130.0,14735.0,10310.0,10088.0,10212.0
